Version,Date,URL
v8.85,13-10-2025,https://www.dbf2002.com/news.html
v8.84,02-10-2025,https://www.dbf2002.com/news.html
v8.83,23-09-2025,https://www.dbf2002.com/news.html
v8.81,08-09-2025,https://www.dbf2002.com/news.html
v8.80,26-08-2025,https://www.dbf2002.com/news.html
v8.79,12-08-2025,https://www.dbf2002.com/news.html
v8.77,28-07-2025,https://www.dbf2002.com/news.html
v8.75,08-07-2025,https://www.dbf2002.com/news.html
v8.70,10-06-2025,https://www.dbf2002.com/news.html
v8.69,27-05-2025,https://www.dbf2002.com/news.html
v8.67,13-05-2025,https://www.dbf2002.com/news.html
v8.65,22-04-2025,https://www.dbf2002.com/news.html
v8.60,27-03-2025,https://www.dbf2002.com/news.html
v8.59,13-03-2025,https://www.dbf2002.com/news.html
v8.57,26-02-2025,https://www.dbf2002.com/news.html
v8.55,15-01-2025,https://www.dbf2002.com/news.html
v8.54,09-12-2024,https://www.dbf2002.com/news.html
v8.52,12-11-2024,https://www.dbf2002.com/news.html
v8.51,28-10-2024,https://www.dbf2002.com/news.html
v8.50,15-10-2024,https://www.dbf2002.com/news.html
v8.48,30-09-2024,https://www.dbf2002.com/news.html
v8.47,11-09-2024,https://www.dbf2002.com/news.html
v8.45,27-08-2024,https://www.dbf2002.com/news.html
v8.42,12-08-2024,https://www.dbf2002.com/news.html
v8.40,26-07-2024,https://www.dbf2002.com/news.html
v8.38,15-07-2024,https://www.dbf2002.com/news.html
v8.37,18-06-2024,https://www.dbf2002.com/news.html
v8.35,14-05-2024,https://www.dbf2002.com/news.html
v8.34,24-04-2024,https://www.dbf2002.com/news.html
v8.32,22-03-2024,https://www.dbf2002.com/news.html
v8.30,23-01-2024,https://www.dbf2002.com/news.html
v8.28,12-12-2023,https://www.dbf2002.com/news.html
v8.26,14-11-2023,https://www.dbf2002.com/news.html
v8.24,18-10-2023,https://www.dbf2002.com/news.html
v8.22,19-09-2023,https://www.dbf2002.com/news.html
v8.20,22-08-2023,https://www.dbf2002.com/news.html
v8.19,27-07-2023,https://www.dbf2002.com/news.html
v8.18,13-07-2023,https://www.dbf2002.com/news.html
v8.17,21-06-2023,https://www.dbf2002.com/news.html
v8.15,24-05-2023,https://www.dbf2002.com/news.html
v8.1,04-05-2023,https://www.dbf2002.com/news.html
v8.01,14-04-2023,https://www.dbf2002.com/news.html
v8.0,15-02-2023,https://www.dbf2002.com/news.html
v7.97,11-01-2023,https://www.dbf2002.com/news.html
v7.95,09-12-2022,https://www.dbf2002.com/news.html
v7.86,17-10-2022,https://www.dbf2002.com/news.html
v7.85,26-09-2022,https://www.dbf2002.com/news.html
v7.75,22-08-2022,https://www.dbf2002.com/news.html
v7.69,27-07-2022,https://www.dbf2002.com/news.html
v7.67,26-05-2022,https://www.dbf2002.com/news.html
v7.65,15-04-2022,https://www.dbf2002.com/news.html
v7.59,07-02-2022,https://www.dbf2002.com/news.html
v7.58,13-01-2022,https://www.dbf2002.com/news.html
v7.57,10-12-2021,https://www.dbf2002.com/news.html
v7.55,15-11-2021,https://www.dbf2002.com/news.html
v7.51,07-10-2021,https://www.dbf2002.com/news.html
v7.49,11-08-2021,https://www.dbf2002.com/news.html
v7.47,08-04-2021,https://www.dbf2002.com/news.html
v7.45,18-01-2021,https://www.dbf2002.com/news.html
v7.35,11-06-2020,https://www.dbf2002.com/news.html
v7.29,14-11-2019,https://www.dbf2002.com/news.html
v7.27,09-09-2019,https://www.dbf2002.com/news.html
v7.25,23-08-2019,https://www.dbf2002.com/news.html
v7.19,24-05-2019,https://www.dbf2002.com/news.html
v7.17,18-04-2019,https://www.dbf2002.com/news.html
v7.15,23-01-2019,https://www.dbf2002.com/news.html
v6.99,30-05-2018,https://www.dbf2002.com/news.html
v6.95,19-04-2018,https://www.dbf2002.com/news.html
v6.85,07-02-2018,https://www.dbf2002.com/news.html
v6.75,22-11-2017,https://www.dbf2002.com/news.html
v6.65,30-08-2017,https://www.dbf2002.com/news.html
v6.55,30-03-2017,https://www.dbf2002.com/news.html
v6.45,17-01-2017,https://www.dbf2002.com/news.html
v6.35,15-09-2016,https://www.dbf2002.com/news.html
v6.25,29-07-2016,https://www.dbf2002.com/news.html
v6.1,26-01-2016,https://www.dbf2002.com/news.html
v5.95,26-05-2015,https://www.dbf2002.com/news.html
v5.85,04-05-2015,https://www.dbf2002.com/news.html
v5.65,26-11-2014,https://www.dbf2002.com/news.html
v5.47,07-10-2014,https://www.dbf2002.com/news.html
v5.45,03-09-2014,https://www.dbf2002.com/news.html
v5.25,26-11-2013,https://www.dbf2002.com/news.html
v5.1,26-08-2013,https://www.dbf2002.com/news.html
v4.97,13-03-2013,https://www.dbf2002.com/news.html
v4.95,05-02-2013,https://www.dbf2002.com/news.html
v4.85,28-11-2012,https://www.dbf2002.com/news.html
v4.75,07-08-2012,https://www.dbf2002.com/news.html
v4.65,14-06-2012,https://www.dbf2002.com/news.html
v4.55,11-04-2012,https://www.dbf2002.com/news.html
v4.45,13-02-2012,https://www.dbf2002.com/news.html
v4.35,12-12-2011,https://www.dbf2002.com/news.html
v4.25,17-10-2011,https://www.dbf2002.com/news.html
v4.1,11-08-2011,https://www.dbf2002.com/news.html
v3.95,15-06-2011,https://www.dbf2002.com/news.html
v3.85,25-04-2011,https://www.dbf2002.com/news.html
v3.75,28-02-2011,https://www.dbf2002.com/news.html
v3.55,10-11-2010,https://www.dbf2002.com/news.html
v3.45,15-09-2010,https://www.dbf2002.com/news.html
v3.25,15-03-2010,https://www.dbf2002.com/news.html
v3.15,18-12-2009,https://www.dbf2002.com/news.html
v3.1,21-09-2009,https://www.dbf2002.com/news.html
v2.95,18-05-2009,https://www.dbf2002.com/news.html
v2.85,23-03-2009,https://www.dbf2002.com/news.html
